codigo,municipio,uf,ufTabela,populacao
2413102,Senador Elói de Souza,Rio Grande do Norte,riograndedonorte,6086
3165701,Senador Firmino,Minas Gerais,minasgerais,7812
2413201,Senador Georgino Avelino,Rio Grande do Norte,riograndedonorte,4440
1200450,Senador Guiomard,Acre,acre,23024
3165800,Senador José Bento,Minas Gerais,minasgerais,1502
1507805,Senador José Porfírio,Pará,para,11658
2111763,Senador La Rocque,Maranhão,maranhao,14293
3165909,Senador Modestino Gonçalves,Minas Gerais,minasgerais,4156
2312700,Senador Pompeu,Ceará,ceara,25496
2708956,Senador Rui Palmeira,Alagoas,alagoas,13870
2312809,Senador Sá,Ceará,ceara,7623
4320321,Senador Salgado Filho,Rio Grande do Sul,riograndedosul,2779
4126306,Sengés,Paraná,parana,19327
2930105,Senhor do Bonfim,Bahia,bahia,79015
3166006,Senhora de Oliveira,Minas Gerais,minasgerais,5786
3166105,Senhora do Porto,Minas Gerais,minasgerais,3523
3166204,Senhora dos Remédios,Minas Gerais,minasgerais,10459
4320354,Sentinela do Sul,Rio Grande do Sul,riograndedosul,5581
2930204,Sento Sé,Bahia,bahia,40684
4320404,Serafina Corrêa,Rio Grande do Sul,riograndedosul,17502
3166303,Sericita,Minas Gerais,minasgerais,7326
1101500,Seringueiras,Rondônia,rondonia,11856
4320453,Sério,Rio Grande do Sul,riograndedosul,1962
3166402,Seritinga,Minas Gerais,minasgerais,1851
3305554,Seropédica,Rio de Janeiro,riodejaneiro,82312
3205002,Serra,Espírito Santo,espiritosanto,517510
4217550,Serra Alta,Santa Catarina,santacatarina,3263
3551405,Serra Azul,São Paulo,saopaulo,14662
3166501,Serra Azul de Minas,Minas Gerais,minasgerais,4293
2515500,Serra Branca,Paraíba,paraiba,13699
2410306,Serra Caiada,Rio Grande do Norte,riograndedonorte,10395
2515609,Serra da Raiz,Paraíba,paraiba,3148
3166600,Serra da Saudade,Minas Gerais,minasgerais,781
2413300,Serra de São Bento,Rio Grande do Norte,riograndedonorte,5762
2413359,Serra do Mel,Rio Grande do Norte,riograndedonorte,11938
1600055,Serra do Navio,Amapá,amapa,5397
2930154,Serra do Ramalho,Bahia,bahia,31472
3166808,Serra do Salitre,Minas Gerais,minasgerais,11582
3166709,Serra dos Aimorés,Minas Gerais,minasgerais,8699
2930303,Serra Dourada,Bahia,bahia,17386
2515708,Serra Grande,Paraíba,paraiba,2909
3551603,Serra Negra,São Paulo,saopaulo,29229
2413409,Serra Negra do Norte,Rio Grande do Norte,riograndedonorte,8078
5107883,Serra Nova Dourada,Mato Grosso,matogrosso,1650
2930402,Serra Preta,Bahia,bahia,14878
2515807,Serra Redonda,Paraíba,paraiba,7041
2613909,Serra Talhada,Pernambuco,pernambuco,86350
3551504,Serrana,São Paulo,saopaulo,45107
3166907,Serrania,Minas Gerais,minasgerais,7669
2111789,Serrano do Maranhão,Maranhão,maranhao,10253
5220504,Serranópolis,Goiás,goiais,8544
3166956,Serranópolis de Minas,Minas Gerais,minasgerais,4781
4126355,Serranópolis do Iguaçu,Paraná,parana,4495
3167004,Serranos,Minas Gerais,minasgerais,1963
2515906,Serraria,Paraíba,paraiba,6099
2930501,Serrinha,Bahia,bahia,80861
2413508,Serrinha,Rio Grande do Norte,riograndedonorte,6229
2413557,Serrinha dos Pintos,Rio Grande do Norte,riograndedonorte,4800
2614006,Serrita,Pernambuco,pernambuco,19165
3167103,Serro,Minas Gerais,minasgerais,20966
2930600,Serrolândia,Bahia,bahia,13397
4126405,Sertaneja,Paraná,parana,5284
2614105,Sertânia,Pernambuco,pernambuco,35907
4126504,Sertanópolis,Paraná,parana,16369
4320503,Sertão,Rio Grande do Sul,riograndedosul,5415
4320552,Sertão Santana,Rio Grande do Sul,riograndedosul,6486
3551702,Sertãozinho,São Paulo,saopaulo,125815
2515930,Sertãozinho,Paraíba,paraiba,5024
3551801,Sete Barras,São Paulo,saopaulo,12832
4320578,Sete de Setembro,Rio Grande do Sul,riograndedosul,1970
3167202,Sete Lagoas,Minas Gerais,minasgerais,239639
5007703,Sete Quedas,Mato Grosso do Sul,matogrossodosul,10791
3165552,Setubinha,Minas Gerais,minasgerais,12258
4320602,Severiano de Almeida,Rio Grande do Sul,riograndedosul,3657
2413607,Severiano Melo,Rio Grande do Norte,riograndedonorte,2440
3551900,Severínia,São Paulo,saopaulo,17496
4217600,Siderópolis,Santa Catarina,santacatarina,14007
5007901,Sidrolândia,Mato Grosso do Sul,matogrossodosul,57665
2210656,Sigefredo Pacheco,Piauí,piaui,10041
3305604,Silva Jardim,Rio de Janeiro,riodejaneiro,21774
5220603,Silvânia,Goiás,goiais,20695
1720655,Silvanópolis,Tocantins,tocantins,5403
4320651,Silveira Martins,Rio Grande do Sul,riograndedosul,2384
3167301,Silveirânia,Minas Gerais,minasgerais,2261
3552007,Silveiras,São Paulo,saopaulo,6302
1304005,Silves,Amazonas,amazonas,9171
3167400,Silvianópolis,Minas Gerais,minasgerais,6238
2807105,Simão Dias,Sergipe,sergipe,40484
3167509,Simão Pereira,Minas Gerais,minasgerais,2615
2210706,Simões,Piauí,piaui,14633
2930709,Simões Filho,Bahia,bahia,134377
5220686,Simolândia,Goiás,goiais,6856
3167608,Simonésia,Minas Gerais,minasgerais,19633
2210805,Simplício Mendes,Piauí,piaui,12711
4320677,Sinimbu,Rio Grande do Sul,riograndedosul,10172
5107909,Sinop,Mato Grosso,matogrosso,142996
4126603,Siqueira Campos,Paraná,parana,21016
2614204,Sirinhaém,Pernambuco,pernambuco,45865
2807204,Siriri,Sergipe,sergipe,8893
5220702,Sítio d'Abadia,Goiás,goiais,2989
2930758,Sítio do Mato,Bahia,bahia,13012
2930766,Sítio do Quinto,Bahia,bahia,9986
2111805,Sítio Novo,Maranhão,maranhao,18081
2413706,Sítio Novo,Rio Grande do Norte,riograndedonorte,5522
1720804,Sítio Novo do Tocantins,Tocantins,tocantins,9029
2930774,Sobradinho,Bahia,bahia,23191
4320701,Sobradinho,Rio Grande do Sul,riograndedosul,14967
2515971,Sobrado,Paraíba,paraiba,7783
2312908,Sobral,Ceará,ceara,208935
3167707,Sobrália,Minas Gerais,minasgerais,5553
3552106,Socorro,São Paulo,saopaulo,41005
2210904,Socorro do Piauí,Piauí,piaui,4569
2516003,Solânea,Paraíba,paraiba,26407
4320800,Soledade,Rio Grande do Sul,riograndedosul,31002
2516102,Soledade,Paraíba,paraiba,14989
3167806,Soledade de Minas,Minas Gerais,minasgerais,6151
2614402,Solidão,Pernambuco,pernambuco,6007
2313005,Solonópole,Ceará,ceara,18324
4217709,Sombrio,Santa Catarina,santacatarina,30374
5007935,Sonora,Mato Grosso do Sul,matogrossodosul,19274
3205010,Sooretama,Espírito Santo,espiritosanto,30070
3552205,Sorocaba,São Paulo,saopaulo,679378
5107925,Sorriso,Mato Grosso,matogrosso,90313
2516151,Sossêgo,Paraíba,paraiba,3555
1507904,Soure,Pará,para,25374
